crop,Test Accuracy,model,Condition
Tomato,0.5861111111111111,dense161,field
Apple,0.859538784067086,vgg13,field
Potato,0.5939849624060151,vgg13,field
Tomato,0.5833333333333334,vgg13,field
Apple,0.8805031446540881,dense201,field
Potato,0.5939849624060151,dense201,field
Tomato,0.5916666666666667,dense201,field
Apple,0.870020964360587,vgg11,field
Potato,0.5789473684210527,vgg11,field
Tomato,0.5583333333333333,vgg11,field
Apple,0.8805031446540881,vgg16,field
Potato,0.5714285714285714,vgg16,field
Tomato,0.5805555555555556,vgg16,field
